title,level1,level2,level3,description
"Bio Water & Apple Mango, 200ml",Baby & kids,Baby & kids food,Beverages & teas,"A mildly fruity organic drink made from apple juice and mango puree in water for children from 1 year of age. With direct juice, blended ready to drink: 75 percent water and 25 percent fruit. Naturland quality. Because the smallest are the biggest!"
"Bio Baby Fennel Tea Demeter, 20 bags, 35g",Baby & kids,Baby & kids food,Beverages & teas,A mild tasting organic fennel tea from Alnatura for babies from 5 months of age. The fennel comes from Demeter organic farming. 20 infusion bags per pack. Because the smallest are the biggest.
"Bio Baby Fruit Tea, 20 bags, 45g",Baby & kids,Baby & kids food,Beverages & teas,"A mild baby fruit tea from Alnatura in organic quality, whose basis are apples and rose hips. Suitable after the 6th month of life. 20 infusion bags per pack. Because the smallest are the biggest!"
"Bio Raspberry Cream Corners, 30g",Baby & kids,Baby & kids food,Dessert & snacks,The organic raspberry cream corners from Mogli are crispy on the outside and creamy on the inside! Crispy waffle corners filled with a fruity raspberry and almond cream. Irresistibly delicious - a fruity treat for the whole family.
"Bio Muesli Biscuits with Cocoa Demeter, 125g",Baby & kids,Baby & kids food,Dessert & snacks,"Muesli to go: crunchy muesli dough meets cocoa - refined with oat flakes and hazelnuts, mildly sweetened with agave and dates. The delicious muesli hearts from Mogli for young and old."
"Bio Mango Apple Fruit Bar, 23g",Baby & kids,Baby & kids food,Dessert & snacks,"Bio Mango Apple Fruit Bar from Alnatura: An aromatic fruit cereal bar in organic quality, whose sweetness comes only from the fruits it contains (ingredients naturally contain sugar). For children from 1 year."
"Bio Mini Spelt Sticks Demeter, 80g",Baby & kids,Baby & kids food,Dessert & snacks,"Bio Mini Spelt Sticks from Alnatura - Crispy organic mini spelt sticks in Demeter quality for children from 1 year. Their easy-to-grasp, handy shape makes them a popular snack for young and old. Without added sugar and salt (ingredients naturally contain sugar and salt)."
"Bio Mini Rice Waffles Apple with Mango, 35g",Baby & kids,Baby & kids food,Dessert & snacks,"Bio Mini Rice Waffles Apple with Mango from Alnatura - Small organic rice waffles whose mild sweetness and flavor come exclusively from the fruit ingredients they contain. Gluten-free, from 8 months."
"Bio Banana Apple Fruit Bar, 23g",Baby & kids,Baby & kids food,Dessert & snacks,"Bio Banana Apple Fruit Bar from Alnatura - An aromatic fruit bar in organic quality, whose sweetness comes only from the fruits it contains. For children from 1 year."
"Bio Noshballs Choco Bites for Kids, 2x20g",Baby & kids,Baby & kids food,Dessert & snacks,"Hey there, awesome parent! Introducing Bio Noshballs Choco Bites for Kids by Noshballs - the ultimate organic snack adventure. These delightful chocolatey bites are the perfect treat for your little explorers. Fuel their day with wholesome joy!"
"Bio Baby Spelt Rusk Demeter, 200g",Baby & kids,Baby & kids food,Dessert & snacks,"Bio Baby Spelt Rusk from Alnatura: Crispy and tender organic spelt rusk for babies after 6 months; the spelt comes from Demeter farms in Germany. Without added sugar, for the preparation of porridges, for nibbling and for family cooking."
"Yogolino Bio Strawberry 6, 4x90g",Baby & kids,Baby & kids food,Dessert & snacks,Product description follows soon.
"Bio Bread Chips Lentil, 80g",Baby & kids,Baby & kids food,Dessert & snacks,"Experience Alnatura's Organic Lentil Bread Chips â a crunchy delight. Crafted from organic lentils, these chips offer a wholesome, flavorful snacking experience. Elevate your snack game with these nutritious treats."
"Bio Oats & Fruit Apple-Strawberry Bar, Pack of 6, 138g",Baby & kids,Baby & kids food,Dessert & snacks,"Bio Oats & Fruit Apple-Strawberry Bar from Alnatura - Mildly fruity organic oat fruit bars whose sweetness comes only from the fruit ingredients (ingredients naturally contain sugar). With 54 percent whole oat flakes, soft and easy to chew. For children from 1 year, 6 bars per pack."
"Bio Mixed Fruits Bar, 23g",Baby & kids,Baby & kids food,Dessert & snacks,"Bio Mixed Fruits Bar from Alnatura: An aromatic fruit bar in organic quality, whose sweetness comes only from the fruits it contains. For children from 1 year."
"Bio Cacao waffles, 15g",Baby & kids,Baby & kids food,Dessert & snacks,Fine cocoa butter with hazelnuts in crispy wafer sheets - a delicious refreshment in organic quality for your next adventure trip.
"Bio Spelt Cheese Sticks, 80g",Baby & kids,Baby & kids food,Dessert & snacks,"Discover Alnatura's Organic Spelt Cheese Sticks, a delicious snack. Made from the finest organic spelt and cheese, they offer a delightful crunch and savory flavor. Elevate your snacking experience with these wholesome treats."
"Bio Breakfast Numbers Banana & Vanilla, 125g",Baby & kids,Baby & kids food,Dessert & snacks,"Bio breakfast numbers banana & vanilla of FRECHE FREUNDE - Bob banana of Freche Freunde is the star at the breakfast table! With a good portion of mild vanilla, he brings all small and large fruit fans cheeky the stars from the muesli sky."
"Bio Pear Blueberry Fruit Bar, 23g",Baby & kids,Baby & kids food,Dessert & snacks,"Bio Pear Blueberry Fruit Bar from Alnatura: A berry-aromatic fruit-cereal bar in organic quality, whose sweetness comes only from the fruits it contains (ingredients naturally contain sugar). For children from 1 year."
"Bio Grape Raspberry Fruit Bar, 23g",Baby & kids,Baby & kids food,Dessert & snacks,"Bio Grape Raspberry Fruit Bar from Alnatura - An aromatic fruit cereal bar in organic quality, whose sweetness comes only from the fruits it contains. For children from 1 year."
"Bio Oat Spelt Hearts, 125g",Baby & kids,Baby & kids food,Dessert & snacks,Bio Oat Spelt Hearts from Alnatura: Oat and spelt cookies in a small heart shape; with raspberry flakes and mild sweetness from agave syrup. The organic recipe is suitable for toddlers from 1 year. Bioland quality.
"Bio Spelt Spoon Biscuits, 125g",Baby & kids,Baby & kids food,Dessert & snacks,Bio Spelt Spoon Biscuits from Alnatura: These finely crumbly organic spelt cookies are mildly sweetened with agave syrup and easy to grip due to their handy shape - perfect for children from 1 year. The spelt comes from Germany.
"Yogolino Bio Nature,6+ Months, 4x90g",Baby & kids,Baby & kids food,Dessert & snacks,"Discover Yogolino Bio Nature, a milk treat specially adapted to the nutritional needs of babies and made with ingredients from organic farming. Yogolino Bio Nature naturally contains sugar and has no added sugar. In addition, the product can be kept unrefrigerated and can therefore be taken anywhere without any problems."
"Bio Oat Cocoa Biscuits, 125g",Baby & kids,Baby & kids food,Dessert & snacks,"Bio Oat Cocoa Biscuits from Alnatura: Oat cocoa cookies in the shape of small animals - for children from 3 years. Whole oat flour is the main ingredient, cocoa powder provides a subtle chocolate note. The sweetness of the organic cookies comes exclusively from banana flakes. Organic quality."
"Pingo Diapers size 3 (4-9kg), 44 pcs",Baby & kids,Nappies,Disposable diapers,Pingo diapers have been produced in Switzerland for over 30 years.
"Pingo Diapers size 6 (15-30kg), 32 pcs",Baby & kids,Nappies,Disposable diapers,Pingo diapers have been produced in Switzerland for over 30 years.
"Pingo diapers size 5 (12-25kg), 36 pcs",Baby & kids,Nappies,Disposable diapers,Pingo diapers have been produced in Switzerland for over 30 years.
"Pingo Diapers size 2 (3-6kg), 42 pcs",Baby & kids,Nappies,Disposable diapers,Pingo diapers have been produced in Switzerland for over 30 years.
"Pingo Diapers size 4 (7-18kg), 40 pcs",Baby & kids,Nappies,Disposable diapers,Pingo diapers have been produced in Switzerland for over 30 years.
"Pingo Diapers size 1 (2-5kg), 27 pcs",Baby & kids,Nappies,Disposable diapers,Pingo diapers have been produced in Switzerland for over 30 years.
"Bio Milk Porridge Oats, 250g",Baby & kids,Baby & kids food,Meals & menus,This organic milk porridge is made with wholemeal oat flour and no added sugar (ingredients naturally contain sugar). It is suitable for feeding after 6 months of age and is quick and easy to prepare with water.
"Bio Vegetables with Sweet Potatoes and Chicken Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,"A finely pureed organic baby menu in Demeter quality with carrots, sweet potatoes and broccoli as well as chicken from the Alnatura Bruderhahn initiative. Ideal from 6 months of age. No added salt (ingredients naturally contain salt) and naturally gluten-free."
"Bio Oat Berry Porridge, 250g",Baby & kids,Baby & kids food,Meals & menus,"Mild, fruity organic porridge with tender wholemeal oat flakes and fine berries; sweetened only with fruit ingredients. From the age of 10 months, easy to chew - ideal for spooning up. Serves cold or warm: add whole milk and leave to swell for five minutes."
"Bio Carrots with Potatoes and Beef Demeter, 250g",Baby & kids,Baby & kids food,Meals & menus,"An organic baby menu in Demeter quality with carrots, peas, potatoes and beef. Chunky, encourages chewing. Made without added salt (ingredients naturally contain salt) and naturally gluten-free. From 12 months of age."
"Bio Colorful Vegetables Mediterranean Style Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,"Bio Colorful Vegetables Mediterranean Style from Alnatura: A finely pureed organic vegetable jar with carrots, zucchini, peppers and other Mediterranean vegetables - for babies from 6 months. Without added salt and in Demeter quality."
"Bio Mango Banana Muesli, 190g",Baby & kids,Baby & kids food,Meals & menus,Finely chopped fruit preparation with yogurt and wholegrain flakes: The organic mango-banana muesli is made without added sugar (ingredients naturally contain sugar) in Demeter quality. As a snack or dessert from the 10th month of life.
"Bio Parsnips with Zucchini, Cauliflower Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,"A finely pureed organic vegetable preparation for feeding after the 4th month; with parsnips, zucchini and cauliflower. Made without added salt and with ingredients from biodynamic agriculture (Demeter)."
"Bio Broccoli with Potatoes Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,An organic vegetable preparation in Demeter quality with broccoli and potato. Finely pureed - ideal for the start of complementary feeding after the 4th month of life. Without added salt (ingredients naturally contain salt) and gluten-free.
"Bio Pumpkin pure Demeter, 125g",Baby & kids,Baby & kids food,Meals & menus,"Organic jars with only one vegetable ingredient, pumpkin in Demeter quality - ideal for the complementary food start after the 4th month of life. Finely pureed, without added salt (ingredients naturally contain salt) and gluten-free."
"Bio Parsnips with Potatoes and Beef Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,"A finely pureed organic baby menu in Demeter quality with parsnips, potatoes and beef, ideal for feeding from 6 months of age. Made without added salt (ingredients naturally contain salt) and naturally gluten-free."
"Bio Apple-Pear with Spelt Semolina Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,A finely pureed organic fruit preparation with whole spelt semolina for nutrition after the 6th month - without added sugar. All ingredients come from biodynamic agriculture (Demeter).
"Bio Beef Preparation Demeter, 125g",Baby & kids,Baby & kids food,Meals & menus,"Bio Beef Preparation from Alnatura: A Demeter-quality organic beef preparation to stir into vegetable porridge - gluten-free, finely pureed and made without added salt (ingredients naturally contain salt); ideal for feeding after the 4th month of life."
"Bio Vegetables with Sweet Potatoes Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,"An organic vegetable preparation in Demeter quality with carrot, potato, sweet potato and pumpkin. Finely pureed - ideal for feeding the baby after the 4th month of life. Without added salt (ingredients naturally contain salt) and gluten-free."
"Bio Fruits Allsorts with Wholegrain Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,"A finely pureed organic fruit and cereal porridge in Demeter quality with apple, banana, mango and orange juice and whole grain flakes; no added sugar (ingredients naturally contain sugar)."
"Potatoes, Pumpkin & Zucchini Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,"Vegetable jars are ideal when starting to wean, after 4 months. Menu jar varieties are suitable for older babies. Our junior menus from 8 months onwards help to make the transition to family meals easy."
"Bio Pear with Blueberry, 190g",Baby & kids,Baby & kids food,Meals & menus,A finely pureed organic fruit jar with 100% fruit; no added sugar. (Ingredients naturally contain sugar).
"Bio Lentil Vegetables with Couscous, 190g",Baby & kids,Baby & kids food,Meals & menus,A vegetarian organic vegetable preparation for feeding from 6 months - with lentils and couscous. Finely pureed and made without added salt.
"Bio Apple Mango Coconut with Spelt Semolina Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,A fruity-exotic organic snack or dessert - made in Demeter quality and without added sugar (ingredients naturally contain sugar). For babies from the 6th month. Because the smallest are the biggest!
"Bio Parsnip pure Demeter, 125g",Baby & kids,Baby & kids food,Meals & menus,"Bio Parsnip pure from Alnatura: Organic jars with only one vegetable ingredient, parsnips in Demeter quality - ideal for the complementary food start after the 4th month of life. Finely pureed, without added salt (ingredients naturally contain salt) and gluten-free."
"Bio Carrots, Broccoli with Tomatoes and Spelt Noodles Demeter, 220g",Baby & kids,Baby & kids food,Meals & menus,"A finely chopped vegetarian organic menu from the 8th month - with carrots, broccoli, tomatoes and whole spelt pasta. Made without added salt and with ingredients from Demeter agriculture."
"Mixed Vegetables Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,"Vegetable jars are ideal when starting to wean, after 4 months. Menu jar varieties are suitable for older babies. Our junior menus from 8 months onwards help to make the transition to family meals easy."
"Bio Chicken Meat Preparation, 125g",Baby & kids,Baby & kids food,Meals & menus,"Bio Chicken Meat Preparation from Alnatura: Finely pureed organic chicken preparation in Bioland quality, for stirring into vegetable porridge after the 4th month of life. Without added salt (ingredients naturally contain salt). The meat comes from the Alnatura BruderkÃ¼ken initiative."
"Bio Mild Apple pure Demeter, 125g",Baby & kids,Baby & kids food,Meals & menus,A finely pureed snack made from just one ingredient: one hundred percent mild organic apple in Demeter quality. Gluten-free and no added sugar (ingredients naturally contain sugar). For babies after the 4th month of life.
"Bio Apple with Mango, 190g",Baby & kids,Baby & kids food,Meals & menus,"A finely pureed snack or dessert made from one hundred percent organic fruit. In Demeter quality, gluten-free and without added sugar (ingredients naturally contain sugar). For babies after the 4th month of life."
"Bio Evening porridge Semolina pure Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,"An organic milk porridge with wheat semolina, without added sugar - from 6 months. Contains ingredients from biodynamic agriculture (Demeter)."
"Bio Butter Vegetables with Couscous and Chicken, 220g",Baby & kids,Baby & kids food,Meals & menus,"An organic baby menu with couscous, carrot, parsnip and bell bell pepper and chicken meat, refined with butter. Finely chopped, encourages chewing. Made without added salt (ingredients naturally contain salt). From the 8th month of life."
"Bio Carrot pure Demeter, 125g",Baby & kids,Baby & kids food,Meals & menus,Bio Carrot pure from Alnatura: Ideal for the start of complementary feeding after the 4th month: Finely pureed organic rodelika carrots from biodynamic agriculture (Demeter). Without added salt.
"Bio Apple-Pear-Cherry Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,"A finely pureed, gluten-free organic porridge from Alnatura with one hundred percent fruit. No added sugar and made with apples and pears from biodynamic agriculture (Demeter). From the 6th month. Because the smallest are the biggest!"
"Bio Evening porridge multigrain Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,"Bio Evening porridge multigrain from Alnatura: An organic evening porridge made from skimmed milk and whole grains for children from 6 months. Finely pureed, unsweetened and made with ingredients from Demeter organic farming."
"Bio Carrots with Potatoes and Beef Demeter, 190g",Baby & kids,Baby & kids food,Meals & menus,"Bio Carrots with Potatoes and Beef from Alnatura: A finely pureed organic baby menu with carrots, potatoes and beef in Demeter quality, ideal for feeding after the 4th month of life. Made without added salt (ingredients naturally contain salt) and gluten-free."
